allcode,0to12,13to18,19to25,26to40,41to60,61to90,,code,0to12,13to18,19to25,26to40,41to60,61to90,,age0to12,age13to18,age19to25,age26to40,age41to60,age61to90
E06000003,19596,9408,11047,21884,37589,35518,,E02000592,948,247,693,2209,1745,1047,,0.147551147,0.110580748,0.108049832,0.218187366,0.240302744,0.245869134
E02002515,1060,443,726,1429,1891,1384,,E02000593,1028,289,663,2589,1983,1099,,0.172349659,0.143993636,0.100862482,0.276167226,0.315357931,0.263053536
E02002516,801,400,451,902,1471,1283,,E02000594,937,227,443,1821,2226,2036,,0.144141352,0.094669849,0.048155247,0.158986878,0.391989909,0.572703239
E02002517,826,420,506,876,1439,1312,,E02000595,968,302,563,2051,2029,1649,,0.153750775,0.15433572,0.076904648,0.194079951,0.329864396,0.444811633
E02002518,1433,788,776,1566,3383,2644,,E02000596,1048,402,1109,2356,1906,1181,,0.178549287,0.233890215,0.207714423,0.240616417,0.291075371,0.290152016
E02002519,1140,511,650,1215,1861,2006,,E02000597,1011,404,520,1949,1898,1371,,0.167079975,0.235481305,0.066602779,0.178516936,0.288552507,0.352941176
E02002520,1656,892,856,1924,3638,4046,,E02000619,1153,521,871,2463,2295,1191,,0.211097334,0.328560064,0.150694777,0.256942325,0.413749606,0.293456709
E02002521,707,346,432,932,1711,2022,,E02000620,1362,481,1087,3592,2413,1023,,0.275883447,0.296738266,0.202443699,0.42920354,0.450961842,0.237937872
E02002523,1519,585,742,1271,1499,900,,E02000621,1123,435,1388,4523,2552,1034,,0.201797892,0.260143198,0.27455678,0.571254196,0.494796594,0.241573034
E02002524,875,377,424,978,1467,1379,,E02000622,1016,388,1125,3386,1896,762,,0.168629882,0.222752586,0.211547676,0.397772353,0.287921791,0.151685393
E02002525,1067,556,714,1345,2409,2239,,E02000623,1274,553,810,2589,2135,962,,0.248605084,0.354017502,0.136080498,0.276167226,0.363292337,0.217779247
E02002526,1146,539,540,1186,2195,1700,,E02000624,1128,482,966,3005,1962,753,,0.203347799,0.297533811,0.17345472,0.339639915,0.308735415,0.14871117
E02002527,839,351,491,900,1326,1138,,E02000625,1355,635,994,2731,1953,707,,0.273713577,0.419252188,0.180162913,0.297833384,0.305897193,0.133509584
E02002529,804,427,481,955,1762,1523,,E02000626,1677,642,849,2286,2396,708,,0.373527588,0.424821002,0.145424054,0.229935917,0.445600757,0.133840053
